,Geography,Geographic Area Name,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!White,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
1328,8600000US95382, 95382,38029,18514,19515,94.9,2093,2391,2802,2986,2908,4645,5364,4893,2105,1834,3801,1528,679,37.2,9306,30171,28723,27362,7029,6008,28723,13564,15159,89.5,6008,2782,3226,86.2,38029,35531,2498,35531,27183,979,34,0,0,8,0,3399,1819,494,292,94,318,18,364,0,0,0,0,0,3936,2498,156,188,689,0,38029,29068,1333,304,4391,366,5208,38029,10977,9220,60,22,1675,27052,21107,893,32,3353,0,132,1535,351,1184,13603,26425,12465,13960
1329,8600000US95383, 95383,3816,2191,1625,134.8,280,138,131,56,202,488,472,386,311,521,618,169,44,50.3,576,3251,3240,3176,1219,831,3240,1774,1466,121,831,520,311,167.2,3816,3662,154,3662,3588,0,0,0,0,0,0,10,0,0,0,0,0,0,10,22,22,0,0,0,42,154,0,49,52,0,3816,3707,0,49,115,22,95,3816,318,226,0,17,75,3498,3365,0,0,10,22,0,101,0,101,3406,3230,1764,1466
1330,8600000US95385, 95385,430,181,249,72.7,30,48,0,0,43,94,50,67,22,34,42,0,0,35,78,352,352,352,49,42,352,134,218,61.5,42,8,34,23.5,430,404,26,404,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,23,0,0,430,430,0,26,0,0,3,430,209,209,0,0,0,221,198,0,0,0,0,0,23,0,23,165,308,126,182
1331,8600000US95386, 95386,10493,5387,5106,105.5,832,676,797,769,638,1534,1301,1182,933,667,692,363,109,35,2749,8083,7744,7275,1634,1164,7744,4019,3725,107.9,1164,653,511,127.8,10493,10004,489,10004,8942,13,35,23,0,0,0,510,324,14,135,9,17,0,11,0,0,0,0,0,504,489,47,114,82,0,10493,9384,60,154,617,68,704,10493,4113,4031,45,0,37,6380,5598,13,29,493,0,0,247,15,232,3306,6986,3530,3456
1332,8600000US95387, 95387,600,317,283,112,0,60,78,88,29,65,73,68,48,21,24,28,18,34.4,204,396,396,374,70,70,396,193,203,95.1,70,37,33,112.1,600,600,0,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,0,0,0,0,0,600,540,540,0,0,0,60,60,0,0,0,0,0,0,0,0,184,211,130,81
1333,8600000US95388, 95388,13805,7545,6260,120.5,888,1189,1292,1138,1008,2064,1488,1567,684,777,991,603,116,31.3,4040,10283,9765,9217,2095,1710,9765,5337,4428,120.5,1710,845,865,97.7,13805,13196,609,13196,6035,211,44,0,0,0,0,534,31,43,68,18,11,31,332,0,0,0,0,0,6372,609,0,30,39,0,13805,6547,307,84,670,0,6816,13805,9888,9696,14,0,178,3917,3007,211,0,534,0,0,165,0,165,4360,6481,3568,2913
1334,8600000US95389, 95389,1464,996,468,212.8,0,12,26,14,120,374,237,181,103,175,195,27,0,44.3,52,1426,1412,1368,332,222,1412,984,428,229.9,222,173,49,353.1,1464,1440,24,1440,1117,104,0,0,0,0,0,60,0,25,30,0,0,0,5,0,0,0,0,0,159,24,0,16,0,0,1464,1133,112,16,60,0,167,1464,317,214,23,0,80,1147,967,104,0,60,0,0,16,0,16,821,1366,956,410
1335,8600000US95391, 95391,21488,10885,10603,102.7,1733,2317,2230,1791,1512,2148,3771,2937,891,882,756,152,368,30.9,7382,14754,14106,13165,1896,1276,14106,7008,7098,98.7,1276,451,825,54.7,21488,19060,2428,19060,7871,1808,0,0,0,0,0,8898,4755,915,1911,172,79,98,968,149,0,115,34,0,334,2428,160,152,169,0,21488,8981,2064,619,10120,985,1417,21488,2830,1572,52,39,1167,18658,6066,1808,0,8875,94,0,1815,517,1298,5557,11034,5669,5365
1336,8600000US95401, 95401,38872,18356,20516,89.5,2447,2501,2373,1922,2427,5964,5532,4410,2786,2645,3820,1322,723,37.9,8398,31156,30474,29115,7574,5865,30474,14821,15653,94.7,5865,2459,3406,72.2,38872,35685,3187,35685,24290,985,345,8,0,26,0,1710,103,331,392,6,155,260,463,127,21,0,0,106,8228,3187,268,386,254,25,38872,27136,1469,1023,2307,492,10133,38872,14701,13319,188,6,1188,24171,19896,985,178,1571,106,407,1028,7,1021,14461,25244,12016,13228
1337,8600000US95403, 95403,44716,21961,22755,96.5,2511,2640,2754,2693,2782,7015,5813,5470,3297,2593,3758,2244,1146,38.5,9463,36322,35253,33521,8605,7148,35253,16707,18546,90.1,7148,2581,4567,56.5,44716,41384,3332,41384,28181,1050,417,0,0,0,0,2205,52,236,202,274,598,384,459,391,23,26,13,329,9140,3332,413,1113,434,16,44716,31058,1587,1777,3108,722,10118,44716,15666,14320,169,49,1128,29050,23206,988,118,2189,391,175,1983,53,1930,16761,30931,14621,16310
1338,8600000US95404, 95404,38462,18613,19849,93.8,2013,2175,2489,2065,2181,4653,5921,4921,2808,2612,4163,1569,892,40.9,7872,31416,30590,29025,8214,6624,30590,14480,16110,89.9,6624,2857,3767,75.8,38462,36203,2259,36203,28206,1003,437,44,0,37,26,2410,604,337,740,82,123,114,410,185,55,0,12,118,3962,2259,371,587,532,7,38462,30388,1451,1098,3009,226,4632,38462,8171,6901,175,46,1049,30291,24996,857,351,2330,185,82,1490,93,1397,16616,27668,12814,14854
