,zip,city,county,lat,long
246,94577,San Leandro,Alameda,37.7205,-122.1587
247,95136,San Jose,Santa Clara,37.2685,-121.849
248,92620,Irvine,Orange,33.7009,-117.7564
249,94551,Livermore,Alameda,37.7526,-121.77
250,94560,Newark,Alameda,37.5368,-122.032
251,92069,San Marcos,San Diego,33.1444,-117.1697
252,95843,Antelope,Sacramento,38.7159,-121.3648
253,95008,Campbell,Santa Clara,37.2803,-121.9539
254,90032,Los Angeles,Los Angeles,34.0818,-118.1753
255,92122,San Diego,San Diego,32.8577,-117.2115
256,94303,Palo Alto,San Mateo,37.4673,-122.1388
257,92843,Garden Grove,Orange,33.7671,-117.929
258,92692,Mission Viejo,Orange,33.6144,-117.6433
259,90247,Gardena,Los Angeles,33.8925,-118.2961
260,90025,Los Angeles,Los Angeles,34.0447,-118.4487
261,90065,Los Angeles,Los Angeles,34.1073,-118.2266
262,95336,Manteca,San Joaquin,37.8134,-121.2132
263,95307,Ceres,Stanislaus,37.5833,-120.9496
264,92705,Santa Ana,Orange,33.754,-117.7919
265,92058,Oceanside,San Diego,33.1959,-117.3795
266,95610,Citrus Heights,Sacramento,38.6946,-121.2692
267,93304,Bakersfield,Kern,35.3396,-119.0218
268,92009,Carlsbad,San Diego,33.0954,-117.2619
269,92109,San Diego,San Diego,32.7969,-117.2405
270,93720,Fresno,Fresno,36.8579,-119.7655
271,91748,Rowland Heights,Los Angeles,33.9818,-117.8969
272,93311,Bakersfield,Kern,35.3039,-119.1056
273,94116,San Francisco,San Francisco,37.7441,-122.4863
274,92555,Moreno Valley,Riverside,33.9377,-117.1851
275,90023,Los Angeles,Los Angeles,34.0245,-118.1975
276,93010,Camarillo,Ventura,34.2313,-119.0464
277,90043,Los Angeles,Los Angeles,33.9871,-118.3321
278,90016,Los Angeles,Los Angeles,34.0298,-118.3528
279,91765,Diamond Bar,Los Angeles,34.0066,-117.8098
280,90620,Buena Park,Orange,33.8439,-118.008
281,91352,Sun Valley,Los Angeles,34.2209,-118.3699
282,90027,Los Angeles,Los Angeles,34.104,-118.2925
283,92236,Coachella,Riverside,33.675,-116.1772
284,92506,Riverside,Riverside,33.9455,-117.3757
285,92104,San Diego,San Diego,32.7454,-117.1272
286,92040,Lakeside,San Diego,32.8562,-116.9201
287,92648,Huntington Beach,Orange,33.6773,-118.0051
288,93455,Santa Maria,Santa Barbara,34.8286,-120.4268
289,95822,Sacramento,Sacramento,38.5091,-121.4935
290,94546,Castro Valley,Alameda,37.7015,-122.0782
291,91367,Woodland Hills,Los Angeles,34.1767,-118.6159
292,94566,Pleasanton,Alameda,37.6658,-121.8755
293,91606,North Hollywood,Los Angeles,34.1872,-118.3865
294,93446,Paso Robles,San Luis Obispo,35.6406,-120.7003
295,91733,South El Monte,Los Angeles,34.0557,-118.0444
296,95403,Santa Rosa,Sonoma,38.4822,-122.7473
297,92410,San Bernardino,San Bernardino,34.1069,-117.2975
298,91320,Newbury Park,Ventura,34.1774,-118.9358
299,91790,West Covina,Los Angeles,34.0673,-117.9366
300,92688,Rancho Santa Margarita,Orange,33.6512,-117.5938
301,94066,San Bruno,San Mateo,37.6247,-122.429
302,92867,Orange,Orange,33.811,-117.8493
303,92019,El Cajon,San Diego,32.7777,-116.9191
304,94403,San Mateo,San Mateo,37.5395,-122.2998
305,90503,Torrance,Los Angeles,33.8397,-118.3542
306,95209,Stockton,San Joaquin,38.0377,-121.3445
307,92545,Hemet,Riverside,33.7399,-117.0151
308,96003,Redding,Shasta,40.6278,-122.353
309,92374,Redlands,San Bernardino,34.065,-117.1672
310,92802,Anaheim,Orange,33.8085,-117.9228
311,94025,Menlo Park,San Mateo,37.4396,-122.1864
312,95380,Turlock,Stanislaus,37.4888,-120.8535
313,94928,Rohnert Park,Sonoma,38.347,-122.6941
314,94121,San Francisco,San Francisco,37.7786,-122.4892
315,93702,Fresno,Fresno,36.74,-119.7532
316,91789,Walnut,Los Angeles,34.0183,-117.8546
317,94117,San Francisco,San Francisco,37.7712,-122.4413
318,95762,El Dorado Hills,El Dorado,38.685,-121.068
319,94134,San Francisco,San Francisco,37.719,-122.4096
320,94605,Oakland,Alameda,37.7641,-122.1633
321,95831,Sacramento,Sacramento,38.4962,-121.5297
322,95678,Roseville,Placer,38.7609,-121.2867
323,94561,Oakley,Contra Costa,37.994,-121.7036
324,93726,Fresno,Fresno,36.7949,-119.7604
325,94521,Concord,Contra Costa,37.9575,-121.975
326,95407,Santa Rosa,Sonoma,38.4089,-122.7339
327,93292,Visalia,Tulare,36.3302,-119.2921
328,90241,Downey,Los Angeles,33.9416,-118.1306
329,95132,San Jose,Santa Clara,37.4031,-121.8585
330,91360,Thousand Oaks,Ventura,34.2092,-118.8739
331,94578,San Leandro,Alameda,37.7024,-122.124
332,94010,Burlingame,San Mateo,37.5671,-122.3676
333,92101,San Diego,San Diego,32.7185,-117.1593
334,92102,San Diego,San Diego,32.7139,-117.1219
335,90007,Los Angeles,Los Angeles,34.0294,-118.2871
336,92308,Apple Valley,San Bernardino,34.4698,-117.1927
337,90059,Los Angeles,Los Angeles,33.9293,-118.2463
338,90501,Torrance,Los Angeles,33.8268,-118.3118
339,94531,Antioch,Contra Costa,37.9658,-121.7758
340,90815,Long Beach,Los Angeles,33.7939,-118.1192
341,91311,Chatsworth,Los Angeles,34.2583,-118.5914
342,95621,Citrus Heights,Sacramento,38.6952,-121.3075
343,90275,Rancho Palos Verdes,Los Angeles,33.7515,-118.367
344,90242,Downey,Los Angeles,33.9218,-118.1395
345,95210,Stockton,San Joaquin,38.025,-121.2972
346,92591,Temecula,Riverside,33.5217,-117.1286
347,91016,Monrovia,Los Angeles,34.144,-118.0014
348,92253,La Quinta,Riverside,33.6685,-116.3081
349,93635,Los Banos,Merced,37.0627,-120.8544
350,93706,Fresno,Fresno,36.6486,-119.9987
351,94804,Richmond,Contra Costa,37.9265,-122.3342
352,95926,Chico,Butte,39.7458,-121.8444
353,90806,Long Beach,Los Angeles,33.8045,-118.1876
354,94118,San Francisco,San Francisco,37.7812,-122.4614
355,94901,San Rafael,Marin,37.9691,-122.5105
356,90605,Whittier,Los Angeles,33.9413,-118.0356
357,91387,Canyon Country,Los Angeles,34.4132,-118.426
358,93637,Madera,Madera,36.9403,-120.082
359,95628,Fair Oaks,Sacramento,38.6554,-121.2611
360,95991,Yuba City,Sutter,39.1051,-121.6202
361,91942,La Mesa,San Diego,32.7835,-117.0189
